Espacio,Observacion,Ubicacion,Capacidad,Estado,Tipo,Edificio,Piso
AULA 101,Proyector HD y pizarra digital,Planta baja - Ala Norte,45,Disponible,Aula,Pabellón A,1
AULA 102,Pizarra tradicional y ventiladores,Planta baja - Ala Sur,40,Disponible,Aula,Pabellón A,1
AULA 103,Aula pequeña para seminarios,Planta baja - Ala Este,25,Disponible,Aula,Pabellón A,1
AULA 104,Aula con aire acondicionado,Planta baja - Ala Oeste,35,Disponible,Aula,Pabellón A,1
LAB 201,30 computadoras i7 + proyector,Segundo piso - Laboratorio principal,30,Disponible,Laboratorio,Pabellón A,2
LAB 202,25 computadoras i5 + impresora,Segundo piso - Laboratorio secundario,25,Disponible,Laboratorio de Redes,Pabellón A,2
LAB 203,20 workstations para desarrollo,Segundo piso - Laboratorio de software,20,Disponible,Laboratorio de Software,Pabellón A,2
AULA 301,Seminarios y conferencias,Tercer piso - Sala de reuniones,50,Disponible,Aula Magna,Pabellón A,3
TALLER 302,Electrónica y soldadura,Tercer piso - Taller técnico,15,Ocupado,Taller,Pabellón A,3
LAB 101,Computadoras básicas,Primer piso - Sala de cómputo,30,Disponible,Laboratorio de Cómputo,Pabellón B,1
BIB 201,Biblioteca central con zona de estudio,Segundo piso - Biblioteca,100,Disponible,Biblioteca,Pabellón B,2
AUD 301,Auditorio principal con escenario,Tercer piso - Auditorio,200,Disponible,Auditorio,Pabellón B,3
GIM 101,Cancha polideportiva y vestuarios,Planta baja - Gimnasio,150,Disponible,Gimnasio,Pabellón C,1
AULA 501,Aula administrativa,Quinto piso - Administración,30,Disponible,Aula,Pabellón C,2
